utc_month,departure,arrival,manifestations
2025-06,BQN,SIG,1
2025-06,POP,BQN,1
2025-06,SIG,BQN,1
2025-06,SIG,NRR,1
2025-06,SIG,SIG,20
2025-06,SIG,,1
2025-07,EIS,NRR,1
2025-07,NRR,SIG,1
2025-07,NRR,VQS,1
2025-07,PSE,PSE,1
2025-07,PSE,,2
2025-07,SIG,NRR,1
2025-07,SIG,SIG,2
2025-07,SIG,VQS,1
2025-07,VIJ,VIJ,1
2025-07,VQS,EIS,1
2025-07,VQS,SIG,1
2025-08,ARE,BQN,1
2025-08,BQN,ARE,1
2025-08,BQN,SIG,1
2025-08,CPX,NRR,1
2025-08,FAJ,,1
2025-08,FLL,NAS,1
2025-08,JBQ,PUJ,1
2025-08,MAZ,,2
2025-08,NAS,AXP,1
2025-08,NRR,FAJ,1
2025-08,NRR,,2
2025-08,PSE,BQN,1
2025-08,PSE,SIG,1
2025-08,PSE,,4
2025-08,QQF,,1
2025-08,SIG,ARE,1
2025-08,SIG,NRR,2
2025-08,SIG,PSE,2
2025-08,SIG,SIG,8
2025-08,SIG,SJU,2
2025-08,SIG,VIJ,1
2025-08,SIG,VQS,1
2025-08,SIG,,32
2025-08,SJU,ARE,1
2025-08,SJU,PSE,1
2025-08,SJU,,3
2025-08,TRI,QQF,1
2025-08,TRI,,1
2025-08,VIJ,SIG,1
2025-08,VQS,,1
2025-08,,,2
2025-09,ARE,ARE,3
2025-09,BQN,ARE,1
2025-09,BQN,BQN,2
2025-09,BQN,SIG,2
2025-09,BQN,,3
2025-09,FAJ,,1
2025-09,JBQ,ARE,1
2025-09,JBQ,PUJ,1
2025-09,JBQ,SIG,1
2025-09,JBQ,,3
2025-09,MAZ,BQN,1
2025-09,MAZ,SIG,1
2025-09,NRR,FAJ,1
2025-09,NRR,NRR,1
2025-09,NRR,SIG,4
2025-09,NRR,SJU,2
2025-09,NRR,STT,2
2025-09,NRR,,1
2025-09,POP,,1
2025-09,PSE,PSE,1
2025-09,PSE,SJU,1
2025-09,PUJ,PUJ,2
2025-09,SBH,SFG,1
2025-09,SDQ,,1
2025-09,SFG,SIG,1
2025-09,SIG,ARE,6
2025-09,SIG,FAJ,1
2025-09,SIG,MAZ,2
2025-09,SIG,NRR,4
2025-09,SIG,SBH,1
2025-09,SIG,SIG,23
2025-09,SIG,SJU,20
2025-09,SIG,STT,8
2025-09,SIG,,43
2025-09,SJU,ARE,1
2025-09,SJU,BQN,1
2025-09,SJU,FAJ,1
2025-09,SJU,NRR,1
2025-09,SJU,PSE,1
2025-09,SJU,SIG,17
2025-09,SJU,SJU,5
2025-09,SJU,STT,2
2025-09,SJU,,21
2025-09,STI,STI,2
2025-09,STI,,3
2025-09,STT,NRR,3
2025-09,STT,SIG,6
2025-09,STT,,1
2025-09,,,12
2025-10,ARE,SIG,1
2025-10,ARE,,1
2025-10,BQN,SIG,2
2025-10,JBQ,SIG,1
2025-10,JBQ,,3
2025-10,NRR,NRR,1
2025-10,NRR,SIG,3
2025-10,NRR,,6
2025-10,SIG,ARE,4
2025-10,SIG,FAJ,3
2025-10,SIG,JBQ,1
2025-10,SIG,NRR,1
2025-10,SIG,SIG,7
2025-10,SIG,SJU,1
2025-10,SIG,STT,6
2025-10,SIG,VQS,1
2025-10,SIG,,10
2025-10,SJU,,1
2025-10,SPB,,1
2025-10,STI,,2
2025-10,STT,NRR,1
2025-10,STT,SIG,6
2025-10,STT,SPB,1
2025-10,VIJ,SIG,1
2025-10,VIJ,VIJ,1
2025-10,VQS,SIG,1
2025-10,,,7
2025-11,LRM,SIG,4
2025-11,NRR,SIG,6
2025-11,NRR,STT,1
2025-11,SBH,SFG,1
2025-11,SFG,NRR,1
2025-11,SIG,EIS,2
2025-11,SIG,LRM,4
2025-11,SIG,NRR,6
2025-11,SIG,SIG,2
2025-11,SIG,VIJ,1
2025-11,SIG,,1
2025-11,SPB,SBH,1
2025-11,STT,SPB,1
2025-11,,,2
2025-12,ARE,SIG,1
2025-12,ARE,,2
2025-12,NRR,SIG,1
2025-12,NRR,SJU,1
2025-12,SIG,ARE,2
2025-12,SIG,EIS,1
2025-12,SIG,NRR,1
2025-12,SIG,SJU,1
2025-12,SIG,,2
2025-12,SJU,SIG,1
2025-12,SJU,,4
2025-12,,,1
2026-01,ARE,SJU,1
2026-01,ARE,,1
2026-01,FAJ,,1
2026-01,SIG,SIG,1
2026-01,SJU,ARE,1
2026-01,SJU,FAJ,1
2026-01,SJU,MAZ,1
2026-01,SJU,,5
2026-02,ROW,,1
2026-02,SIG,SIG,1
