binding_id,canonical_skill_id,direction,ontology_object_type,object_subtype,object_term_status,object_owner,required_or_conditional,allowed_visibility_classes,allowed_evidence_tiers,handoff_requirement,mission_or_intent_inference_authorized,notes
BIND-001,corrim-aasb-spatial-bridge,INPUT,FINDING,FPIM_ROUTE_GEOMETRY_FINDING,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-002,corrim-aasb-spatial-bridge,INPUT,SOURCE_ARTIFACT,ASSET_REGISTRY_REFERENCE,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-003,corrim-aasb-spatial-bridge,INPUT,MEASUREMENT,SPATIAL_DISTANCE_MEASUREMENT,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-004,corrim-aasb-spatial-bridge,OUTPUT,ASSOCIATION,AIRSPACE_ASSET_SPATIAL_ASSOCIATION,SKILL_GOVERNANCE_SUBTYPE,CORRIM_ADAPTER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-005,corrim-aasb-spatial-bridge,OUTPUT,SOURCE_ARTIFACT,AASB_EXPORT_RECORD,SKILL_GOVERNANCE_SUBTYPE,CORRIM_ADAPTER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-006,fpim-aircraft-profile-brief,INPUT,OBSERVATION,AIRCRAFT_IDENTITY_OBSERVATION,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-007,fpim-aircraft-profile-brief,INPUT,MEASUREMENT,ROUTE_RECURRENCE_MEASUREMENT,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-008,fpim-aircraft-profile-brief,INPUT,FINDING,FPIM_ROUTE_GEOMETRY_FINDING,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-009,fpim-aircraft-profile-brief,OUTPUT,MEASUREMENT,AIRCRAFT_ACTIVITY_PROFILE_MEASUREMENT,SKILL_GOVERNANCE_SUBTYPE,FPIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-010,fpim-aircraft-profile-brief,OUTPUT,FINDING,AIRCRAFT_ACTIVITY_PROFILE_FINDING,SKILL_GOVERNANCE_SUBTYPE,FPIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-011,fpim-aircraft-profile-brief,OUTPUT,SOURCE_ARTIFACT,EVIDENCE_TIERED_PROFILE_BRIEF,SKILL_GOVERNANCE_SUBTYPE,FPIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-012,core-aircraft-registry-enricher,INPUT,SOURCE_ARTIFACT,AUTHORITATIVE_AIRCRAFT_REGISTRY_RECORD,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-013,core-aircraft-registry-enricher,OUTPUT,OBSERVATION,AIRCRAFT_IDENTITY_OBSERVATION,SKILL_GOVERNANCE_SUBTYPE,CORE,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-014,core-aircraft-registry-enricher,OUTPUT,SOURCE_ARTIFACT,NORMALIZED_AIRCRAFT_REGISTRY_RECORD,SKILL_GOVERNANCE_SUBTYPE,CORE,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-015,core-airspace-export-validator,INPUT,SOURCE_ARTIFACT,EXPORT_INPUT_ARTIFACT,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-016,core-airspace-export-validator,INPUT,OBSERVATION,EXPORTABLE_OBSERVATION,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-017,core-airspace-export-validator,INPUT,MEASUREMENT,EXPORTABLE_MEASUREMENT,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-018,core-airspace-export-validator,INPUT,FINDING,EXPORTABLE_FINDING,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-019,core-airspace-export-validator,INPUT,ASSOCIATION,EXPORTABLE_ASSOCIATION,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-020,core-airspace-export-validator,OUTPUT,SOURCE_ARTIFACT,CANONICAL_AIRSPACE_EXPORT,SKILL_GOVERNANCE_SUBTYPE,CORE,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-021,fpim-fr24-route-extractor,INPUT,OBSERVATION,AIRCRAFT_POSITION_OBSERVATION,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-022,fpim-fr24-route-extractor,INPUT,EXTRACTED_OBSERVABLE,SOURCE_OVERLAY_TRACK_LINE,ONTOLOGY_CANONICAL,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,
BIND-023,fpim-fr24-route-extractor,OUTPUT,MEASUREMENT,TRACK_GEOMETRY_MEASUREMENT,SKILL_GOVERNANCE_SUBTYPE,FPIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-024,fpim-fr24-route-extractor,OUTPUT,FINDING,FPIM_ROUTE_GEOMETRY_FINDING,SKILL_GOVERNANCE_SUBTYPE,FPIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
BIND-025,fpim-fr24-route-extractor,OUTPUT,FINDING,TAKEOFF_CANDIDATE,ONTOLOGY_CANONICAL,FPIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,
BIND-026,fpim-fr24-route-extractor,OUTPUT,FINDING,LANDING_CANDIDATE,ONTOLOGY_CANONICAL,FPIM,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,HANDOFF_REQUIRED_BEFORE_ANOTHER_OWNER_INTERPRETS,false,
BIND-027,rlsm-fr24-screenshot-inventory,INPUT,SOURCE_ARTIFACT,FR24_SCREENSHOT,SKILL_GOVERNANCE_SUBTYPE,DECLARED_SOURCE_OWNER,REQUIRED_OR_TASK_SCOPED,V0;V1;V2;V3;V4_AS_DECLARED_BY_SOURCE_AND_METHOD,T1;T2;T3;T4_AS_DECLARED_BY_SOURCE,OWNER_HANDOFF_REQUIRED_WHEN_SOURCE_OWNER_DIFFERS,false,Subtype is a skill-governance binding label and does not extend ontology v2.0.
