track_id,large_gap,impossible_geom_speed,extreme_vertical_rate,duplicate_time,duplicate_position,classification,aircraft_anomaly_inference
3f23c026,0,0,1,0,0,data_quality_flags_only,False
3f2433d9,2,3,1,0,0,data_quality_flags_only,False
3f24af98,2,4,1,0,0,data_quality_flags_only,False
3f288bae,3,5,1,0,0,data_quality_flags_only,False
3f294dbe,0,0,2,0,0,data_quality_flags_only,False
3f295b53,0,1,1,0,0,data_quality_flags_only,False
3f2ce342,0,4,1,0,0,data_quality_flags_only,False
3f2cfa59,1,1,0,0,0,data_quality_flags_only,False
3f2dbe66,4,5,0,0,0,data_quality_flags_only,False
3f2e2f18,1,1,1,0,0,data_quality_flags_only,False
3f30508a,1,4,1,0,2,data_quality_flags_only,False
3f308134,1,2,0,0,0,data_quality_flags_only,False
3f30e60d,3,1,1,0,0,data_quality_flags_only,False
3f31245b,3,0,1,0,0,data_quality_flags_only,False
3f485dbf,1,3,1,0,0,data_quality_flags_only,False
3f48c03c,1,0,3,0,0,data_quality_flags_only,False
3f48e1f4,0,1,1,0,0,data_quality_flags_only,False
3f4973fd,1,0,0,0,0,data_quality_flags_only,False
3f4989bd,0,4,1,0,0,data_quality_flags_only,False
3f4bad76,0,3,1,0,2,data_quality_flags_only,False
3f4bc689,0,3,0,0,0,data_quality_flags_only,False
3f4bf7f8,0,1,1,0,0,data_quality_flags_only,False
3f703f51,0,3,1,0,0,data_quality_flags_only,False
3f70e1c3,0,8,0,0,0,data_quality_flags_only,False
40fdf3f5,1,2,2,0,0,data_quality_flags_only,False
