phase,path,target_owner,planned_action,change_type,compatibility_strategy,required_tests,approval_state,open_pr_overlap,blocking_treatment
G0-AUTHORITY,docs/architecture/ADR_SKYWATCHER_ANALYTICAL_ONTOLOGY_v2_0.md,Core,Add the frozen ontology ADR as the repository authority; reference but do not rewrite the accepted boundary ADR.,new documentation,No runtime effect; links legacy aliases.,Documentation lint; terminology conformance fixture.,AUTHORIZED_G0_ONLY,,NONE_IDENTIFIED
G0-AUTHORITY,docs/architecture/SKYWATCHER_LEGACY_ALIAS_REGISTRY_v2_0.csv,Core governance,Publish frozen legacy alias registry.,new governance artifact,"Additive only; no existing path, schema, runtime, command, or historical artifact changes.",CSV/JSON parse; uniqueness; allowed statuses; SHA-256 manifest; exact-path scope.,AUTHORIZED_G0_ONLY,,NONE_IDENTIFIED
G0-AUTHORITY,docs/architecture/SKYWATCHER_ONTOLOGY_FREEZE_MANIFEST_v2_0.json,Core governance,Publish deterministic SHA-256 manifest for G0 authority files.,new governance artifact,"Additive only; no existing path, schema, runtime, command, or historical artifact changes.",CSV/JSON parse; uniqueness; allowed statuses; SHA-256 manifest; exact-path scope.,AUTHORIZED_G0_ONLY,,NONE_IDENTIFIED
G0-AUTHORITY,docs/architecture/SKYWATCHER_ONTOLOGY_SOURCE_REGISTER_v2_0.csv,Core governance,Publish source register with current-main anchors.,new governance artifact,"Additive only; no existing path, schema, runtime, command, or historical artifact changes.",CSV/JSON parse; uniqueness; allowed statuses; SHA-256 manifest; exact-path scope.,AUTHORIZED_G0_ONLY,,NONE_IDENTIFIED
G0-AUTHORITY,docs/architecture/SKYWATCHER_PATH_LEVEL_MIGRATION_PLAN_v2_0.csv,Core governance,Publish the revised 77-row no-write migration plan.,new governance artifact,"Additive only; no existing path, schema, runtime, command, or historical artifact changes.",CSV/JSON parse; uniqueness; allowed statuses; SHA-256 manifest; exact-path scope.,AUTHORIZED_G0_ONLY,,NONE_IDENTIFIED
G0-AUTHORITY,docs/architecture/SKYWATCHER_TERM_OWNERSHIP_MATRIX_v2_0.csv,Core governance,Publish frozen term ownership matrix.,new governance artifact,"Additive only; no existing path, schema, runtime, command, or historical artifact changes.",CSV/JSON parse; uniqueness; allowed statuses; SHA-256 manifest; exact-path scope.,AUTHORIZED_G0_ONLY,,NONE_IDENTIFIED
G0-AUTHORITY,docs/architecture/SKYWATCHER_THRESHOLD_REGISTRY_SEED_v2_0.csv,Core governance,Publish non-executable candidate threshold seed.,new governance artifact,"Additive only; no existing path, schema, runtime, command, or historical artifact changes.",CSV/JSON parse; uniqueness; allowed statuses; SHA-256 manifest; exact-path scope.,AUTHORIZED_G0_ONLY,,NONE_IDENTIFIED
G0-AUTHORITY,tests/test_skywatcher_ontology_governance_v2.py,Core governance,Add additive governance-file validation without importing runtime modules.,new documentation/test,"Additive only; no existing path, schema, runtime, command, or historical artifact changes.",CSV/JSON parse; uniqueness; allowed statuses; SHA-256 manifest; exact-path scope.,AUTHORIZED_G0_ONLY,,NONE_IDENTIFIED
G1-BOUNDARY-ENFORCEMENT,src/skywatcher/core/module_boundaries.py,Core,Add RLSM pipeline ownership overlay and classify integrated runners as Legacy orchestrators; preserve four analytical buckets and readiness exception.,code/manifest,No physical moves required in first PR.,Existing boundary tests plus path-owner tests.,BLOCKED_AFTER_G0,#157;#91,BLOCK_UNTIL_PR_157_AND_PR_91_ARE_CLOSED_SUPERSEDED_OR_REBASED_AFTER_G0
G1-BOUNDARY-ENFORCEMENT,tests/test_module_boundaries.py,Core,"Enforce pipeline ownership, integrated-runner qualification, Legacy isolation, and Core readiness exception.",tests,Additive tests.,Full boundary suite; deliberate-negative fixtures.,BLOCKED_AFTER_G0,,NONE_IDENTIFIED
P0-INTEGRATED,.github/workflows/satim-engine-ci.yml,Legacy CI,Qualify workflow name and test canonical owner mapping; do not break historical workflow records.,workflow,Retain file path initially; display-name change only after compatibility review.,Workflow YAML; package matrix; smoke outputs.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,#172;#110,BLOCK_UNTIL_PR_110_IS_ADJUDICATED_AS_CANONICAL_SOURCE_OR_SUPERSEDED
P0-INTEGRATED,.github/workflows/satim-phase2.yml,Legacy/CORRIM/SATIM CI,Reclassify Phase-2 chain as a multi-owner calibration workflow.,workflow later,Retain historical run identity; update only after code ownership split.,YAML parse; SATIM/CORRIM boundary assertions.,BLOCKED_SEPARATE_APPROVAL_REQUIRED,,NONE_IDENTIFIED
