threshold_id,owner,current_value,unit,purpose,status,validation_artifact,failure_behavior,effective_version,supersedes
SATIM-ARTIFACT-CONFIRMED-0.90,SATIM,0.90,score,Artifact confidence level boundary,EXECUTABLE_CANDIDATE,NONE_CONFIRMED,Do not emit CONFIRMED_ARTIFACT automatically.,v2.1,
SATIM-ARTIFACT-HIGH-0.75,SATIM,0.75,score,Artifact confidence level boundary,EXECUTABLE_CANDIDATE,NONE_CONFIRMED,Use numeric score and rationale; no universal label.,v2.1,
SATIM-ARTIFACT-MODERATE-0.50,SATIM,0.50,score,Artifact confidence level boundary,EXECUTABLE_CANDIDATE,NONE_CONFIRMED,Use numeric score and rationale.,v2.1,
SATIM-ARTIFACT-LOW-0.25,SATIM,0.25,score,Artifact confidence level boundary,EXECUTABLE_CANDIDATE,NONE_CONFIRMED,Use numeric score and rationale.,v2.1,
SATIM-QUEUE-CANDIDATE-0.80,SATIM,0.80,adjusted_score,Review queue band,EXECUTABLE_CANDIDATE,Calibration-set-specific only,Queue state only; no truth promotion.,v2.1,
SATIM-QUEUE-CROSSSOURCE-0.70,SATIM,0.70,adjusted_score,Cross-source review queue band,EXECUTABLE_CANDIDATE,Calibration-set-specific only,Require human cross-source review.,v2.1,
SATIM-QUEUE-REVIEW-0.55,SATIM,0.55,adjusted_score,Review queue entry,EXECUTABLE_CANDIDATE,Calibration-set-specific only,No auto-promotion.,v2.1,
ILAP-INFRA-2NM,CORRIM,2,nautical_mile,Maximum full infrastructure alignment score,EXECUTABLE_CANDIDATE,NONE_CONFIRMED,Expose distance directly and label heuristic.,v2.1,
ILAP-INFRA-5NM,CORRIM,5,nautical_mile,Infrastructure alignment band,EXECUTABLE_CANDIDATE,NONE_CONFIRMED,Expose distance directly and label heuristic.,v2.1,
ILAP-INFRA-10NM,CORRIM,10,nautical_mile,Infrastructure alignment band,EXECUTABLE_CANDIDATE,NONE_CONFIRMED,Expose distance directly and label heuristic.,v2.1,
ILAP-INFRA-20NM,CORRIM,20,nautical_mile,Infrastructure alignment band,EXECUTABLE_CANDIDATE,NONE_CONFIRMED,Expose distance directly and label heuristic.,v2.1,
