utc_month,consensus_family_id,tracks
2025-06,-1,19
2025-06,1,5
2025-06,6,1
2025-07,-1,9
2025-07,2,1
2025-07,4,1
2025-07,11,2
2025-08,-1,52
2025-08,1,26
2025-08,4,1
2025-08,5,3
2025-08,10,3
2025-08,14,1
2025-08,18,1
2025-08,19,1
2025-08,21,1
2025-08,22,1
2025-08,31,2
2025-08,32,1
2025-08,36,2
2025-09,-1,111
2025-09,1,63
2025-09,2,8
2025-09,3,12
2025-09,4,2
2025-09,6,5
2025-09,7,4
2025-09,8,1
2025-09,9,2
2025-09,10,2
2025-09,13,2
2025-09,14,1
2025-09,20,3
2025-09,21,1
2025-09,22,2
2025-09,26,1
2025-09,32,1
2025-09,33,2
2025-09,37,2
2025-09,38,2
2025-09,40,1
2025-09,41,1
2025-09,43,1
2025-10,-1,33
2025-10,1,6
2025-10,2,4
2025-10,3,14
2025-10,4,2
2025-10,6,3
2025-10,7,1
2025-10,8,2
2025-10,9,1
2025-10,11,1
2025-10,12,1
2025-10,15,4
2025-10,18,1
2025-10,28,2
2025-10,29,2
2025-10,34,1
2025-10,41,1
2025-10,42,1
2025-11,-1,9
2025-11,1,2
2025-11,2,11
2025-11,5,2
2025-11,17,3
2025-11,23,2
2025-11,24,2
2025-11,25,2
2025-11,40,1
2025-11,42,1
2025-12,-1,14
2025-12,2,2
2025-12,4,1
2025-12,5,4
2025-12,12,2
2025-12,13,1
2025-12,27,2
2026-01,-1,12
2026-01,1,1
2026-01,2,1
2026-01,5,2
2026-02,-1,1
2026-02,1,1
2026-02,4,1
2026-03,-1,3
2026-03,34,1
2026-04,-1,26
2026-04,1,6
2026-04,2,1
2026-04,4,3
2026-04,5,1
2026-04,9,2
2026-04,18,1
2026-04,26,1
2026-04,30,2
2026-06,-1,8
2026-06,1,4
2026-06,2,1
2026-06,4,2
2026-06,8,1
2026-06,12,1
2026-06,16,3
2026-06,43,1
2026-06,44,2
2026-07,-1,31
2026-07,1,8
2026-07,4,2
2026-07,7,1
2026-07,8,2
2026-07,11,2
2026-07,13,1
2026-07,14,2
2026-07,16,1
2026-07,19,2
2026-07,21,1
2026-07,35,2
2026-07,39,2
2026-08,-1,22
2026-08,4,1
2026-08,45,2
2026-09,-1,9
2026-09,4,1
