source_record_id,source_skill_id,source_title,source_version,compatibility,source_purpose,source_provenance_tier,source_skill_md_sha256,source_skill_md_size_bytes,source_package_sha256,source_package_size_bytes,source_archive_sha256,inventory_disposition
SOURCE-SKILL-001,aasb-spatial-bridge,AASB Spatial Bridge,1.0.0,claude,"execute its named workflow deterministically with provenance, validation, and bounded authority",SPEC_RECONSTRUCTED,5fb06f51777a175ec4d2c4e49620986fa52d75ff1e02c4cb56b568a9646855b1,7334,4f7994203b6d24a2d10a66c9c053d9c8beca4a084facc14e56139024d23b2d43,3241,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,PRESERVED_VERBATIM_AS_SOURCE_EVIDENCE
SOURCE-SKILL-002,aircraft-intelligence-profiler,Aircraft Intelligence Profiler,1.0.0,claude,produce a weekly evidence-tiered intelligence brief,SPEC_RECONSTRUCTED,d6867e758619cec736f314072090d3f5c0a328866f4069c283dc93cdf0acc7c6,7301,199eed47b025e3e0b875e78817dd54c5897b013f02a12f42cbacb077ff85e772,3242,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,PRESERVED_VERBATIM_AS_SOURCE_EVIDENCE
SOURCE-SKILL-003,aircraft-registry-enricher,Aircraft Registry Enricher,1.0.0,claude,maintain a canonical source or asset registry,SPEC_RECONSTRUCTED,0427ad71e6f17499416e29279da4d7f1db55b2c95c5c5a6f68b833f37aed92e7,7269,76631b1c508cf81007ca7d0819347a2fa1897e9f500d5955546db0efd83e9647,3237,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,PRESERVED_VERBATIM_AS_SOURCE_EVIDENCE
SOURCE-SKILL-004,airspace-export-validator,Airspace Export Validator,1.0.0,claude,produce validated canonical exports,SPEC_RECONSTRUCTED,eaadbb72ae40a85321c805fe1e3e0bf7393d6e20dac75ad2090ba3a691324b9c,7244,92479816512e5d12fd2ac239a4ebfcb6043be2af9db0a3a893fe606e7404e813,3225,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,PRESERVED_VERBATIM_AS_SOURCE_EVIDENCE
SOURCE-SKILL-005,fr24-route-extractor,FR24 Route Extractor,1.0.0,claude,"execute its named workflow deterministically with provenance, validation, and bounded authority",SPEC_RECONSTRUCTED,5607394b370882f52ae44b9ecff2b0df231a0567c4520abc0595120c6a6a79e9,7339,bef771b7875f25ba5ec79b79be7d6417fd4022277d5024fb1c6ca00d4bdb6bd1,3242,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,PRESERVED_VERBATIM_AS_SOURCE_EVIDENCE
SOURCE-SKILL-006,fr24-screenshot-inventory,FR24 Screenshot Inventory,1.0.0,claude,inventory and account for inputs and repository state,SPEC_RECONSTRUCTED,fff0d0f4e327822fb1566724b8230f14f9bc252bd567e78cefbc4e3edba13b12,7280,8e382af632a8ad7e935f6c8715eb4744a1fb1ea161df2417f92406d99a1ca386,3241,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,PRESERVED_VERBATIM_AS_SOURCE_EVIDENCE
SOURCE-SKILL-007,ilap-airspace-bridge,ILAP Airspace Bridge,1.0.0,claude,"execute its named workflow deterministically with provenance, validation, and bounded authority",SPEC_RECONSTRUCTED,bf7d60f877462c102558c50f56c408d8ad19f2691110ea973882414edeb2957b,7339,fc75f82dbdfb142e6b61c06764843a65fd709d944d03b239c0f39f195089cb05,3243,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,PRESERVED_VERBATIM_AS_SOURCE_EVIDENCE
SOURCE-SKILL-008,satim-engine,SATIM Engine,1.0.0,claude,execute a deterministic analytical engine,SPEC_RECOVERED,7dbbc70b4d7bc8e8fc266c9833aa11102644edbe7697f61e18342762aa95b0b6,7104,6146e3809a967c737c9c83a6a8e17f5f0d95b09de2f43565effafc85fc1e110f,3214,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,PRESERVED_VERBATIM_AS_SOURCE_EVIDENCE
SOURCE-SKILL-009,satim-engine-operator,SATIM Engine Operator,1.0.0,claude,orchestrate bounded end-to-end execution,SPEC_RECONSTRUCTED,c758c76fdfabeae80be622f9903233aed30912b9c707e690d30cfaab6fdbc095,7232,16e50ef3acee23a6f30c4dafa97e203b19e6fc6cf4954bd9b923cd024a672734,3233,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,PRESERVED_VERBATIM_AS_SOURCE_EVIDENCE
SOURCE-SKILL-010,satim-flight-gis-evidence,SATIM Flight GIS Evidence,1.0.0,claude,analyze evidence while preserving provenance and uncertainty,SPEC_RECOVERED,6cbffee8499b88b55d705c055c23d6f53b06e49a5b2d2fc0bf1b0355ffd4e6a7,7217,1f08ea2cb9bdd260d9d27e5e2c919478444590b906b3a97f06f25e6073ddc6f9,3238,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,PRESERVED_VERBATIM_AS_SOURCE_EVIDENCE
