canonical_object_id,object_type,current_main_path,current_symbol,current_behavior,conformance,repair_action,test_or_evidence,status
GLOBAL.DISCOVERY_NOT_IDENTITY,rule,,,,UNRESOLVED,,,OPEN
GLOBAL.MISSING_NOT_NEGATIVE,rule,,,,UNRESOLVED,,,OPEN
SHADOW.DARKNESS_NOT_SHADOW,rule,,,,UNRESOLVED,,,OPEN
SEAM.DISCOVERY,rule,,,,UNRESOLVED,,,OPEN
ARTIFACT.RENDER_SCALE_DEPENDENT,rule,,,,UNRESOLVED,,,OPEN
PALM.SUPPORTED,rule,,,,UNRESOLVED,,,OPEN
WATER.SUPPORTED,rule,,,,UNRESOLVED,,,OPEN
QUARRY.SUPPORTED,rule,,,,UNRESOLVED,,,OPEN
EXCAVATION.DISTURBANCE,rule,,,,UNRESOLVED,,,OPEN
PORTAL.LIKE,rule,,,,UNRESOLVED,,,OPEN
MULTISCALE.PERSISTENCE,rule,,,,UNRESOLVED,,,OPEN
LOCATOR.EXACT_CERTIFIED,rule,,,,UNRESOLVED,,,OPEN
PARAMETER_DENOMINATOR,registry,repo-wide,,,,,,OPEN
RULE_DENOMINATOR,registry,repo-wide,,,,,,OPEN
CONFIDENCE_SYSTEM,concept,repo-wide,,,,,,OPEN
IDENTITY_PROMOTION,concept,repo-wide,,,,,,OPEN
