registry_record_id,canonical_skill_id,canonical_name,canonical_version,source_skill_id,source_version,source_relation,source_provenance_tier,source_skill_md_sha256,source_package_sha256,source_archive_sha256,canonical_owner,skill_class,lifecycle_state,runtime_activation,default_cadence,default_authority_ceiling,canonical_purpose,activation_summary,non_activation_summary,analytical_input_objects,analytical_output_objects,governance_outputs,prohibited_outputs,mission_or_intent_inference_authorized,implementation_state,notes
SKILL-001,corrim-aasb-spatial-bridge,CORRIM AASB Spatial Bridge,1.0.1-design.1,aasb-spatial-bridge,1.0.0,CANONICALIZED_OWNER_PREFIX,SPEC_RECONSTRUCTED,5fb06f51777a175ec4d2c4e49620986fa52d75ff1e02c4cb56b568a9646855b1,4f7994203b6d24a2d10a66c9c053d9c8beca4a084facc14e56139024d23b2d43,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,CORRIM_ADAPTER,ADAPTER,DESIGN_REVISED_PENDING_AUTHORIZATION,DISABLED_DESIGN_ONLY,ON_DEMAND,READ_ONLY_AND_LOCAL_ARTIFACTS,Create review-only airspace–asset spatial association records and AASB export records from declared FPIM geometry and authoritative asset references.,Activate for explicit AASB spatial association or export tasks with bounded geometry and asset inputs.,"Do not activate for imagery interpretation, route inference, facility-purpose inference, access claims, or causal conclusions.",FINDING:FPIM_ROUTE_GEOMETRY_FINDING;SOURCE_ARTIFACT:ASSET_REGISTRY_REFERENCE;MEASUREMENT:SPATIAL_DISTANCE_MEASUREMENT,ASSOCIATION:AIRSPACE_ASSET_SPATIAL_ASSOCIATION;SOURCE_ARTIFACT:AASB_EXPORT_RECORD,SKILL_EXECUTION_RUN;INPUT_ACCOUNTING;VALIDATION_RESULT;SKILL_RECEIPT;FAILURE_RECORD_OR_HANDOFF_WHERE_APPLICABLE,MISSION_INFERENCE;INTENT_INFERENCE;ACCESS_CLAIM;CAUSATION;CONFIDENCE_FROM_FLIGHT_COUNT,false,DESIGN_ONLY_NO_REPOSITORY_ACTIVATION,Original source wording remains preserved in sources/ and source_packages/. Canonical language follows ontology v2.0.
SKILL-002,fpim-aircraft-profile-brief,FPIM Aircraft Profile Brief,1.0.1-design.1,aircraft-intelligence-profiler,1.0.0,RENAMED_AND_RESCOPED,SPEC_RECONSTRUCTED,d6867e758619cec736f314072090d3f5c0a328866f4069c283dc93cdf0acc7c6,199eed47b025e3e0b875e78817dd54c5897b013f02a12f42cbacb077ff85e772,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,FPIM,ANALYTICAL_REPORT,DESIGN_REVISED_PENDING_AUTHORIZATION,DISABLED_DESIGN_ONLY,WEEKLY_OR_ON_DEMAND,READ_ONLY_AND_LOCAL_ARTIFACTS,Produce an evidence-tiered aircraft activity profile from authoritative identity observations and FPIM trajectory measurements without deriving mission or intent.,"Activate for a named aircraft, bounded time window, and supplied or authorized flight/registry evidence.","Do not activate for mission profiling, operator-purpose inference, predictive targeting, or unsupported home-base or landing claims.",OBSERVATION:AIRCRAFT_IDENTITY_OBSERVATION;MEASUREMENT:ROUTE_RECURRENCE_MEASUREMENT;FINDING:FPIM_ROUTE_GEOMETRY_FINDING,MEASUREMENT:AIRCRAFT_ACTIVITY_PROFILE_MEASUREMENT;FINDING:AIRCRAFT_ACTIVITY_PROFILE_FINDING;SOURCE_ARTIFACT:EVIDENCE_TIERED_PROFILE_BRIEF,SKILL_EXECUTION_RUN;INPUT_ACCOUNTING;VALIDATION_RESULT;SKILL_RECEIPT;FAILURE_RECORD_OR_HANDOFF_WHERE_APPLICABLE,MISSION_INFERENCE;INTENT_INFERENCE;PURPOSE_INFERENCE;UNSUPPORTED_HOME_BASE;CONFIRMED_LANDING_FROM_TRACK_END,false,DESIGN_ONLY_NO_REPOSITORY_ACTIVATION,Original source wording remains preserved in sources/ and source_packages/. Canonical language follows ontology v2.0.
SKILL-003,core-aircraft-registry-enricher,Core Aircraft Registry Enricher,1.0.1-design.1,aircraft-registry-enricher,1.0.0,CANONICALIZED_OWNER_PREFIX,SPEC_RECONSTRUCTED,0427ad71e6f17499416e29279da4d7f1db55b2c95c5c5a6f68b833f37aed92e7,76631b1c508cf81007ca7d0819347a2fa1897e9f500d5955546db0efd83e9647,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,CORE,REGISTRY,DESIGN_REVISED_PENDING_AUTHORIZATION,DISABLED_DESIGN_ONLY,ON_DEMAND,READ_ONLY_AND_LOCAL_ARTIFACTS,"Normalize authoritative aircraft registry records while preserving source identity, conflicts, effective dates, and uncertainty.",Activate for explicit authoritative registry resolution or normalization tasks.,"Do not activate for deduced ownership, mission, operator purpose, or unverified identity resolution.",SOURCE_ARTIFACT:AUTHORITATIVE_AIRCRAFT_REGISTRY_RECORD,OBSERVATION:AIRCRAFT_IDENTITY_OBSERVATION;SOURCE_ARTIFACT:NORMALIZED_AIRCRAFT_REGISTRY_RECORD,SKILL_EXECUTION_RUN;INPUT_ACCOUNTING;VALIDATION_RESULT;SKILL_RECEIPT;FAILURE_RECORD_OR_HANDOFF_WHERE_APPLICABLE,MISSION_INFERENCE;INTENT_INFERENCE;PURPOSE_INFERENCE;SILENT_CONFLICT_COLLAPSE,false,DESIGN_ONLY_NO_REPOSITORY_ACTIVATION,Original source wording remains preserved in sources/ and source_packages/. Canonical language follows ontology v2.0.
SKILL-004,core-airspace-export-validator,Core Airspace Export Validator,1.0.1-design.1,airspace-export-validator,1.0.0,CANONICALIZED_OWNER_PREFIX,SPEC_RECONSTRUCTED,eaadbb72ae40a85321c805fe1e3e0bf7393d6e20dac75ad2090ba3a691324b9c,92479816512e5d12fd2ac239a4ebfcb6043be2af9db0a3a893fe606e7404e813,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,CORE,VALIDATION,DESIGN_REVISED_PENDING_AUTHORIZATION,DISABLED_DESIGN_ONLY,ON_DEMAND,READ_ONLY_AND_LOCAL_ARTIFACTS,Validate and package canonical airspace exports without creating new analytical interpretations.,"Activate when an export contract, input package, and acceptance criteria are explicit.","Do not activate to reinterpret findings, repair data silently, promote evidence, or publish externally.",SOURCE_ARTIFACT:EXPORT_INPUT_ARTIFACT;OBSERVATION:EXPORTABLE_OBSERVATION;MEASUREMENT:EXPORTABLE_MEASUREMENT;FINDING:EXPORTABLE_FINDING;ASSOCIATION:EXPORTABLE_ASSOCIATION,SOURCE_ARTIFACT:CANONICAL_AIRSPACE_EXPORT,SKILL_EXECUTION_RUN;INPUT_ACCOUNTING;VALIDATION_RESULT;SKILL_RECEIPT;FAILURE_RECORD_OR_HANDOFF_WHERE_APPLICABLE,NEW_FINDING;NEW_ASSOCIATION;EVIDENCE_PROMOTION;EXTERNAL_PUBLICATION,false,DESIGN_ONLY_NO_REPOSITORY_ACTIVATION,Original source wording remains preserved in sources/ and source_packages/. Canonical language follows ontology v2.0.
SKILL-005,fpim-fr24-route-extractor,FPIM FR24 Route Extractor,1.0.1-design.1,fr24-route-extractor,1.0.0,CANONICALIZED_OWNER_PREFIX,SPEC_RECONSTRUCTED,5607394b370882f52ae44b9ecff2b0df231a0567c4520abc0595120c6a6a79e9,bef771b7875f25ba5ec79b79be7d6417fd4022277d5024fb1c6ca00d4bdb6bd1,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,FPIM,ANALYTICAL,DESIGN_REVISED_PENDING_AUTHORIZATION,DISABLED_DESIGN_ONLY,ON_DEMAND,READ_ONLY_AND_LOCAL_ARTIFACTS,Derive bounded track geometry and route findings from structured aircraft-position observations or RLSM-extracted overlay lines.,Activate for supplied flight-position records or an explicit RLSM-to-FPIM handoff.,"Do not perform screenshot OCR, terrain interpretation, mission inference, route significance, or cross-domain association.",OBSERVATION:AIRCRAFT_POSITION_OBSERVATION;EXTRACTED_OBSERVABLE:SOURCE_OVERLAY_TRACK_LINE,MEASUREMENT:TRACK_GEOMETRY_MEASUREMENT;FINDING:FPIM_ROUTE_GEOMETRY_FINDING;FINDING:TAKEOFF_CANDIDATE;FINDING:LANDING_CANDIDATE,SKILL_EXECUTION_RUN;INPUT_ACCOUNTING;VALIDATION_RESULT;SKILL_RECEIPT;FAILURE_RECORD_OR_HANDOFF_WHERE_APPLICABLE,MISSION_INFERENCE;INTENT_INFERENCE;ROUTE_SIGNIFICANCE;CONFIRMED_TAKEOFF_WITHOUT_VERIFICATION;CONFIRMED_LANDING_WITHOUT_VERIFICATION,false,DESIGN_ONLY_NO_REPOSITORY_ACTIVATION,Original source wording remains preserved in sources/ and source_packages/. Canonical language follows ontology v2.0.
SKILL-006,rlsm-fr24-screenshot-inventory,RLSM FR24 Screenshot Inventory,1.0.1-design.1,fr24-screenshot-inventory,1.0.0,CANONICALIZED_OWNER_PREFIX,SPEC_RECONSTRUCTED,fff0d0f4e327822fb1566724b8230f14f9bc252bd567e78cefbc4e3edba13b12,8e382af632a8ad7e935f6c8715eb4744a1fb1ea161df2417f92406d99a1ca386,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,RLSM,EXTRACTION,DESIGN_REVISED_PENDING_AUTHORIZATION,DISABLED_DESIGN_ONLY,ON_DEMAND,READ_ONLY_AND_LOCAL_ARTIFACTS,"Inventory FR24 screenshot source artifacts and emit lossless availability, hash, timestamp, and disposition observations.",Activate for an explicit screenshot corpus or repository inventory boundary.,"Do not interpret routes, behavior, terrain, mission, infrastructure significance, or facility purpose.",SOURCE_ARTIFACT:FR24_SCREENSHOT,OBSERVATION:SOURCE_AVAILABILITY_OBSERVATION;EXTRACTED_OBSERVABLE:SCREENSHOT_INVENTORY_RECORD,SKILL_EXECUTION_RUN;INPUT_ACCOUNTING;VALIDATION_RESULT;SKILL_RECEIPT;FAILURE_RECORD_OR_HANDOFF_WHERE_APPLICABLE,ROUTE_INTERPRETATION;BEHAVIOR_INFERENCE;MISSION_INFERENCE;TERRAIN_FINDING;INFRASTRUCTURE_ASSOCIATION,false,DESIGN_ONLY_NO_REPOSITORY_ACTIVATION,Original source wording remains preserved in sources/ and source_packages/. Canonical language follows ontology v2.0.
SKILL-007,corrim-ilap-airspace-bridge,CORRIM ILAP Airspace Bridge,1.0.1-design.1,ilap-airspace-bridge,1.0.0,CANONICALIZED_OWNER_PREFIX,SPEC_RECONSTRUCTED,bf7d60f877462c102558c50f56c408d8ad19f2691110ea973882414edeb2957b,fc75f82dbdfb142e6b61c06764843a65fd709d944d03b239c0f39f195089cb05,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,CORRIM,ASSOCIATION,DESIGN_REVISED_PENDING_AUTHORIZATION,DISABLED_DESIGN_ONLY,ON_DEMAND,READ_ONLY_AND_LOCAL_ARTIFACTS,"Create review-only ILAP association objects from FPIM flight-path findings, infrastructure references, and declared spatial methods.",Activate for explicit ILAP association generation with named inputs and spatial method.,"Do not infer access, landing, ownership, purpose, coordination, causation, or operational relevance.",FINDING:FPIM_ROUTE_GEOMETRY_FINDING;SOURCE_ARTIFACT:INFRASTRUCTURE_REFERENCE;MEASUREMENT:PROXIMITY_MEASUREMENT,ASSOCIATION:ILAP,SKILL_EXECUTION_RUN;INPUT_ACCOUNTING;VALIDATION_RESULT;SKILL_RECEIPT;FAILURE_RECORD_OR_HANDOFF_WHERE_APPLICABLE,ACCESS_CLAIM;LANDING_CLAIM;FACILITY_PURPOSE;OWNERSHIP_INFERENCE;COORDINATION;CAUSATION;OPERATIONAL_RECOMMENDATION,false,DESIGN_ONLY_NO_REPOSITORY_ACTIVATION,Original source wording remains preserved in sources/ and source_packages/. Canonical language follows ontology v2.0.
SKILL-008,repo-native-visual-calibration-orchestrator,Repo-native Visual Calibration Orchestrator,1.0.1-design.1,satim-engine-operator,1.0.0,RENAMED_AND_RESCOPED,SPEC_RECONSTRUCTED,c758c76fdfabeae80be622f9903233aed30912b9c707e690d30cfaab6fdbc095,16e50ef3acee23a6f30c4dafa97e203b19e6fc6cf4954bd9b923cd024a672734,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,SKYWATCHER_ORCHESTRATION,ORCHESTRATION,DESIGN_REVISED_PENDING_AUTHORIZATION,DISABLED_DESIGN_ONLY,ON_DEMAND,READ_ONLY_AND_LOCAL_ARTIFACTS,"Orchestrate bounded repo-native visual calibration stages across RLSM, FPIM, SATIM, and CORRIM without owning analytical findings.",Activate only for an explicit multi-stage calibration or replay objective with declared authority and component skills.,"Do not activate as a SATIM-only engine, create findings directly, or escalate write/promotion authority.",SOURCE_ARTIFACT:CALIBRATION_INPUT_BUNDLE,NONE_DIRECT_ANALYTICAL:GOVERNANCE_RECEIPT_AND_HANDOFFS_ONLY,SKILL_EXECUTION_RUN;INPUT_ACCOUNTING;VALIDATION_RESULT;SKILL_RECEIPT;FAILURE_RECORD_OR_HANDOFF_WHERE_APPLICABLE,DIRECT_ANALYTICAL_FINDING;MISSION_INFERENCE;INTENT_INFERENCE;AUTHORITY_ESCALATION;LIVE_CUEING,false,DESIGN_ONLY_NO_REPOSITORY_ACTIVATION,The supplied satim-engine-operator identity is preserved as a non-canonical source alias. The canonical identity follows ontology v2.0 exactly.
SKILL-009,legacy-integrated-track-visual-analysis-engine,Legacy Integrated Track/Visual Analysis Engine,1.0.1-design.1,satim-engine,1.0.0,RENAMED_AND_QUARANTINED,SPEC_RECOVERED,7dbbc70b4d7bc8e8fc266c9833aa11102644edbe7697f61e18342762aa95b0b6,6146e3809a967c737c9c83a6a8e17f5f0d95b09de2f43565effafc85fc1e110f,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,LEGACY,LEGACY_COMPATIBILITY,QUARANTINED_LEGACY,EXPLICIT_LEGACY_ONLY,ON_DEMAND_EXPLICIT_LEGACY,READ_ONLY_AND_LOCAL_ARTIFACTS,Preserve explicit compatibility access to the historical integrated track/visual engine pending decomposition.,Activate only when the legacy engine is named explicitly and compatibility behavior is required.,"Do not activate by topical matching, represent the engine as SATIM-only, or emit new canonical findings without owner adapters.",SOURCE_ARTIFACT:LEGACY_INTEGRATED_INPUT,SOURCE_ARTIFACT:LEGACY_INTEGRATED_OUTPUT,SKILL_EXECUTION_RUN;INPUT_ACCOUNTING;VALIDATION_RESULT;SKILL_RECEIPT;FAILURE_RECORD_OR_HANDOFF_WHERE_APPLICABLE,CANONICAL_SATIM_ONLY_CLAIM;NEW_UNQUALIFIED_FINDING;MISSION_INFERENCE;INTENT_INFERENCE;AUTOMATIC_PROMOTION,false,DESIGN_ONLY_NO_REPOSITORY_ACTIVATION,Original source wording remains preserved in sources/ and source_packages/. Canonical language follows ontology v2.0.
SKILL-010,satim-imagery-evidence-analyzer,SATIM Imagery Evidence Analyzer,1.0.1-design.1,satim-flight-gis-evidence,1.0.0,SPLIT_SUCCESSOR,SPEC_RECOVERED,6cbffee8499b88b55d705c055c23d6f53b06e49a5b2d2fc0bf1b0355ffd4e6a7,1f08ea2cb9bdd260d9d27e5e2c919478444590b906b3a97f06f25e6073ddc6f9,1d5f906645e3f9a846e5843d331077b8d2b0f5a3c97aa3b6ed940f8377eff2bd,SATIM,ANALYTICAL,DESIGN_REVISED_PENDING_AUTHORIZATION,DISABLED_DESIGN_ONLY,ON_DEMAND,READ_ONLY_AND_LOCAL_ARTIFACTS,"Analyze imagery provenance, artifacts, terrain, landcover, and image-visible feature candidates without interpreting flight behavior.",Activate for explicit imagery evidence tasks with image sources and localization metadata.,"Do not interpret flight paths, mission, intent, GIS significance, or cross-domain association.",SOURCE_ARTIFACT:IMAGERY_SOURCE;EXTRACTED_OBSERVABLE:LOCALIZED_IMAGE_REGION,OBSERVATION:IMAGERY_FEATURE_OBSERVATION;MEASUREMENT:IMAGERY_FEATURE_MEASUREMENT;FINDING:STRUCTURAL_FEATURE_CANDIDATE,SKILL_EXECUTION_RUN;INPUT_ACCOUNTING;VALIDATION_RESULT;SKILL_RECEIPT;FAILURE_RECORD_OR_HANDOFF_WHERE_APPLICABLE,FLIGHT_BEHAVIOR;MISSION_INFERENCE;INTENT_INFERENCE;GIS_ASSOCIATION;CAUSATION,false,DESIGN_ONLY_NO_REPOSITORY_ACTIVATION,Original source wording remains preserved in sources/ and source_packages/. Canonical language follows ontology v2.0.
