source_skill_id,source_version,source_provenance_tier,disposition,canonical_successor_count,canonical_successor_ids,source_alias_state,source_runtime_activation,reason,historical_text_treatment
aasb-spatial-bridge,1.0.0,SPEC_RECONSTRUCTED,CANONICALIZE_OWNER_AND_RETAIN_ALIAS,1,corrim-aasb-spatial-bridge,SEARCHABLE_COMPATIBILITY_ALIAS_NON_CANONICAL,DISABLED_UNTIL_SEPARATE_IMPLEMENTATION,Source responsibility is retained under an ontology-qualified owner and bounded purpose.,PRESERVE_VERBATIM_NO_IN_PLACE_REWRITE
aircraft-intelligence-profiler,1.0.0,SPEC_RECONSTRUCTED,RENAME_AND_RESTRICT,1,fpim-aircraft-profile-brief,SEARCHABLE_COMPATIBILITY_ALIAS_NON_CANONICAL,DISABLED_UNTIL_SEPARATE_IMPLEMENTATION,Profile reporting is retained; mission and intent inference are prohibited.,PRESERVE_VERBATIM_NO_IN_PLACE_REWRITE
aircraft-registry-enricher,1.0.0,SPEC_RECONSTRUCTED,CANONICALIZE_OWNER_AND_RETAIN_ALIAS,1,core-aircraft-registry-enricher,SEARCHABLE_COMPATIBILITY_ALIAS_NON_CANONICAL,DISABLED_UNTIL_SEPARATE_IMPLEMENTATION,Source responsibility is retained under an ontology-qualified owner and bounded purpose.,PRESERVE_VERBATIM_NO_IN_PLACE_REWRITE
airspace-export-validator,1.0.0,SPEC_RECONSTRUCTED,CANONICALIZE_OWNER_AND_RETAIN_ALIAS,1,core-airspace-export-validator,SEARCHABLE_COMPATIBILITY_ALIAS_NON_CANONICAL,DISABLED_UNTIL_SEPARATE_IMPLEMENTATION,Source responsibility is retained under an ontology-qualified owner and bounded purpose.,PRESERVE_VERBATIM_NO_IN_PLACE_REWRITE
fr24-route-extractor,1.0.0,SPEC_RECONSTRUCTED,CANONICALIZE_OWNER_AND_RETAIN_ALIAS,1,fpim-fr24-route-extractor,SEARCHABLE_COMPATIBILITY_ALIAS_NON_CANONICAL,DISABLED_UNTIL_SEPARATE_IMPLEMENTATION,Source responsibility is retained under an ontology-qualified owner and bounded purpose.,PRESERVE_VERBATIM_NO_IN_PLACE_REWRITE
fr24-screenshot-inventory,1.0.0,SPEC_RECONSTRUCTED,CANONICALIZE_OWNER_AND_RETAIN_ALIAS,1,rlsm-fr24-screenshot-inventory,SEARCHABLE_COMPATIBILITY_ALIAS_NON_CANONICAL,DISABLED_UNTIL_SEPARATE_IMPLEMENTATION,Source responsibility is retained under an ontology-qualified owner and bounded purpose.,PRESERVE_VERBATIM_NO_IN_PLACE_REWRITE
ilap-airspace-bridge,1.0.0,SPEC_RECONSTRUCTED,CANONICALIZE_OWNER_AND_RETAIN_ALIAS,1,corrim-ilap-airspace-bridge,SEARCHABLE_COMPATIBILITY_ALIAS_NON_CANONICAL,DISABLED_UNTIL_SEPARATE_IMPLEMENTATION,Source responsibility is retained under an ontology-qualified owner and bounded purpose.,PRESERVE_VERBATIM_NO_IN_PLACE_REWRITE
satim-engine,1.0.0,SPEC_RECOVERED,RENAME_AND_QUARANTINE,1,legacy-integrated-track-visual-analysis-engine,SEARCHABLE_COMPATIBILITY_ALIAS_NON_CANONICAL,DISABLED_UNTIL_SEPARATE_IMPLEMENTATION,Unqualified SATIM engine name conflicts with the frozen ownership boundary and integrated track/visual behavior.,PRESERVE_VERBATIM_NO_IN_PLACE_REWRITE
satim-engine-operator,1.0.0,SPEC_RECONSTRUCTED,RENAME_AND_RESCOPED_ORCHESTRATOR,1,repo-native-visual-calibration-orchestrator,SEARCHABLE_COMPATIBILITY_ALIAS_NON_CANONICAL,DISABLED_UNTIL_SEPARATE_IMPLEMENTATION,The source operator is multi-owner and cannot be represented as SATIM-only; the canonical successor uses the exact ontology v2.0 repo-native runner name.,PRESERVE_VERBATIM_NO_IN_PLACE_REWRITE
satim-flight-gis-evidence,1.0.0,SPEC_RECOVERED,SPLIT_ONE_TO_THREE,3,corrim-flight-gis-association-analyzer;fpim-flight-path-evidence-analyzer;satim-imagery-evidence-analyzer,SEARCHABLE_COMPATIBILITY_ALIAS_NON_CANONICAL,DISABLED_UNTIL_SEPARATE_IMPLEMENTATION,"Imagery, flight-path, and cross-domain GIS association belong to SATIM, FPIM, and CORRIM respectively.",PRESERVE_VERBATIM_NO_IN_PLACE_REWRITE
