term_id,term,definition,owner,relation_to_ontology,prohibited_confusion
SGT-001,SKILL,A versioned bounded execution responsibility registered under this governance layer.,CORE_GOVERNANCE,Not an analytical domain or evidence object.,Do not infer authority from the skill name.
SGT-002,SOURCE_SKILL_IDENTITY,The immutable supplied skill name and version preserved as source evidence.,CORE_GOVERNANCE,Linked to but distinct from a canonical skill identity.,Do not silently overwrite or relabel source text.
SGT-003,CANONICAL_SKILL_IDENTITY,The ontology-conforming identity used for future implementation and routing.,CORE_GOVERNANCE,May be a rename or one of several split successors.,Do not treat source aliases as canonical.
SGT-004,SKILL_VERSION,A semantic version for a skill specification or implementation.,CORE_GOVERNANCE,Independent of ontology version and schema version.,Do not reuse a version after semantic change.
SGT-005,SKILL_PURPOSE,The bounded responsibility a skill may perform.,CORE_GOVERNANCE,Constrains activation and output objects.,Do not use broad topical descriptions as authority.
SGT-006,SPECIFICATION_PROVENANCE_TIER,"VERBATIM, SPEC_RECOVERED, or SPEC_RECONSTRUCTED source-history classification.",CORE_GOVERNANCE,Orthogonal to evidence tiers T1–T4.,Never convert specification provenance into evidentiary strength.
SGT-007,VERBATIM,Skill body preserved as byte-identical or text-identical source material.,CORE_GOVERNANCE,Specification provenance only.,Does not imply correctness or current authority.
SGT-008,SPEC_RECOVERED,Skill body recovered from a preserved design session or source record.,CORE_GOVERNANCE,Specification provenance only.,Does not imply evidentiary confidence.
SGT-009,SPEC_RECONSTRUCTED,Skill body reconstructed from catalog identity and shared contracts.,CORE_GOVERNANCE,Specification provenance only.,Must not be represented as an original verbatim specification.
SGT-010,LIFECYCLE_STATE,"Design, authorization, implementation, quarantine, template, or retirement disposition of a skill identity.",CORE_GOVERNANCE,"Includes revised design pending authorization, quarantined legacy, template only, and retired states.",Do not equate lifecycle state with execution status.
SGT-011,RUNTIME_ACTIVATION,Whether an implemented skill may currently be routed or invoked.,CORE_GOVERNANCE,Separate from lifecycle and registration.,Design approval alone never activates runtime.
SGT-012,ACTIVATION_POLICY,Rules determining whether a skill owns and may accept a task.,CORE_GOVERNANCE,"Includes required inputs, explicit triggers, conflicts, and non-activation conditions.",Topical similarity alone is insufficient.
SGT-013,EXECUTION_AUTHORITY,Explicit side-effect permissions granted to a run.,CORE_GOVERNANCE,"Read, artifact, patch, repository, send, promotion, merge, and release permissions are separate.",Authority is not inherited from an orchestrator or prior run.
SGT-014,AUTHORITY_CEILING,Maximum authority a skill implementation may ever exercise.,CORE_GOVERNANCE,A run grant must be at or below the ceiling.,A ceiling is not an active grant.
SGT-015,EXPLICIT_AUTHORITY_GRANT,Task-specific authorization for named side effects.,CORE_GOVERNANCE,"Bound to a run, target, and scope.","Do not infer from user identity, repository access, or skill name."
SGT-016,SKILL_EXECUTION_RUN,Versioned record of one attempted skill execution.,CORE_GOVERNANCE,"Contains stages, inputs, configuration, authority, data mode, and terminal status.",Do not mutate completed runs in place.
SGT-017,EXECUTION_STAGE,Named bounded step within an execution run.,CORE_GOVERNANCE,Stages may produce checkpoints and failures.,Do not report a skipped stage as completed.
SGT-018,TERMINAL_STATUS,"completed, partial, blocked, or failed.",CORE_GOVERNANCE,Matches the supplied skill output contract.,Do not collapse blocked into failed or partial into completed.
SGT-019,INPUT_ACCOUNTING,Mutually exclusive disposition totals for all supplied inputs.,CORE_GOVERNANCE,total = accepted + rejected + duplicate + review + unresolved.,Do not omit inaccessible or unsupported inputs.
SGT-020,FAILURE_RECORD,"Structured record of a failed stage, class, affected scope, checkpoint, and corrective action.",CORE_GOVERNANCE,Preserves partial work without claiming completion.,Do not hide errors in free-text limitations only.
SGT-021,CHECKPOINT,Verified restart boundary bound to input and state hashes.,CORE_GOVERNANCE,May support deterministic resume.,Do not resume from an unverified or incompatible checkpoint.
SGT-022,HANDOFF,Explicit transfer from one skill or owner to another with artifacts and unresolved assumptions.,CORE_GOVERNANCE,Required at analytical ownership boundaries.,A handoff does not transfer authority automatically.
SGT-023,SKILL_RECEIPT,Machine-readable completion record paired with a concise human result.,CORE_GOVERNANCE,"Binds status, accounting, outputs, evidence, validation, limitations, and next action.",Do not claim output absent from the receipt.
SGT-024,DATA_MODE,"Declared source condition: canonical live, authorized archived, authorized cache, stale, demo, synthetic, or unknown.",CORE_GOVERNANCE,Independent of evidence tier and visibility class.,No silent fallback across modes.
SGT-025,CANONICAL_LIVE,Current canonical data resolved from the authorized source.,CORE_GOVERNANCE,"A data mode, not a truth guarantee.",Do not infer completeness or correctness.
SGT-026,AUTHORIZED_ARCHIVED,Archived source explicitly allowed for the task.,CORE_GOVERNANCE,Must carry coverage and end dates.,Do not describe as current.
SGT-027,AUTHORIZED_CACHE,Cached data explicitly allowed and age-bounded.,CORE_GOVERNANCE,Must record cache timestamp and source identity.,Do not silently substitute for live data.
SGT-028,STALE,Data older than the task-specific freshness requirement.,CORE_GOVERNANCE,May support historical context only.,Do not use for present-state claims without qualification.
SGT-029,DEMO,Demonstration material not representing canonical operational data.,CORE_GOVERNANCE,Must be isolated and labeled.,Do not promote into canonical outputs.
SGT-030,SYNTHETIC,Generated test or simulation data.,CORE_GOVERNANCE,May validate behavior but not factual claims.,Do not mix silently with real records.
SGT-031,SECURITY_CLASSIFICATION,Disclosure and handling category for run inputs and outputs.,CORE_GOVERNANCE,"Public, internal, private, restricted, secret-bearing, or credential-bearing.",Do not lower classification through transformation.
SGT-032,CADENCE_POLICY,Allowed scheduling mode and temporal constraints for a skill.,CORE_GOVERNANCE,"On-demand, scheduled, event-triggered, or release-gate.",A cadence declaration does not create a schedule.
SGT-033,ORCHESTRATOR,Non-analytical skill that routes work and reconciles receipts.,SKYWATCHER_ORCHESTRATION,Must invoke analytical owners instead of producing their findings.,Cannot inherit or amplify component authority.
SGT-034,OWNER_QUALIFIED_OUTPUT,Analytical output carrying its canonical domain owner and object type.,CORE_GOVERNANCE,Required before cross-domain assembly.,Do not relabel an output to avoid a handoff.
SGT-035,ANALYTICAL_OBJECT_BINDING,Explicit list of ontology object types and separately classified subtype labels allowed as skill inputs or outputs.,CORE_GOVERNANCE,Each subtype is marked ONTOLOGY_CANONICAL or SKILL_GOVERNANCE_SUBTYPE; the latter does not extend ontology v2.0.,Do not promote a skill-governance subtype into an ontology term or schema without separate ontology authority.
SGT-036,SOURCE_ALIAS,Preserved non-canonical identity accepted for search or compatibility.,LEGACY,Maps to one or more canonical successors.,Must not override canonical ownership.
SGT-037,SUCCESSOR_SKILL,Canonical identity replacing or splitting a source skill.,CORE_GOVERNANCE,Carries a declared relation and migration rationale.,Do not imply source artifacts were rewritten.
SGT-038,COMPATIBILITY_WRAPPER,Bounded adapter preserving historical commands or files.,LEGACY,May translate to canonical contracts.,Must not emit new unqualified canonical findings.
SGT-039,VALIDATION_GATE,Named deterministic check with pass/fail result and evidence.,CORE_GOVERNANCE,Recorded in a receipt.,Do not substitute an assertion for execution evidence.
SGT-040,BOUNDED_FAILURE_PACKET,"Failure record, partial artifacts, checkpoint, limitations, and corrective action returned when completion is impossible.",CORE_GOVERNANCE,Preferred over fabricated completion.,Must not be labeled completed.
SGT-041,REVIEW_PRIORITY,Workflow queue ordering only.,CORE_GOVERNANCE,"Orthogonal to confidence, evidence tier, recurrence, and truth.",Do not use as evidence strength.
SGT-042,PROMOTION,Governed state transition requiring explicit authority and a named gate.,CORE_GOVERNANCE,Separate from analysis and validation.,No skill may promote by default.
SGT-043,NEXT_ACTION,One bounded continuation step stated in a receipt.,CORE_GOVERNANCE,"May be a handoff, correction, or human decision.",Not an operational recommendation for live or physical action.
