canonical_object_id,object_type,current_main_path,current_symbol,current_behavior,conformance,repair_action,test_or_evidence,status
GLOBAL.DISCOVERY_NOT_IDENTITY,rule,satim_artifact_filter.py,recommended_class,Low artifact evidence formerly implied TRUE_SURFACE_FEATURE,CONFLICTS,FAIL_CLOSED_TO_UNRESOLVED,tests/test_satim_artifact_filter.py,REPAIRED
MODULE.RLSM_EXTRACTION_ONLY,rule,fr24/rlsm_unlabeled.py,analyze_image,Semantic pad/tank/quarry/antenna classification under RLSM,CONFLICTS,LEGACY_QUARANTINE,tests/test_visual_reasoning_baseline_v0_2.py,CONTAINED
MODULE.SATIM_NO_FPIM_FUSION,rule,satim_cut_fill.py,score_cut_fill_observation,Route proximity and ADS-B linkage increase combined SATIM score,CONFLICTS,SPLIT_IN_VECTOR_3,configs/visual_reasoning/legacy_rule_conflicts_v0_2.yaml,LEGACY_COMPATIBILITY
MODULE.SATIM_NO_FPIM_FUSION,rule,satim_road_end.py,score_road_end_observation,Route proximity and ADS-B linkage increase combined SATIM score,CONFLICTS,SPLIT_IN_VECTOR_3,configs/visual_reasoning/legacy_rule_conflicts_v0_2.yaml,LEGACY_COMPATIBILITY
MODULE.SATIM_NO_FPIM_FUSION,rule,satim_water_feature.py,build_p_route_confidence_patch,Water imagery score emits P_ROUTE confidence patch,CONFLICTS,QUARANTINE_OUTPUT,tests/test_visual_reasoning_baseline_v0_2.py,LEGACY_COMPATIBILITY
MODULE.ROUTE_BEHAVIOR_OWNED_BY_FPIM,rule,satim_visual_route_gap.py,GapObservation,Mixed flight-track and visual feature compatibility,CONFLICTS,LEGACY_BUCKET,tests/test_visual_reasoning_baseline_v0_2.py,CONTAINED
MODULE.ALL_IMPLEMENTATIONS_CLASSIFIED,rule,src/skywatcher/core/module_boundaries.py,MODULE_BOUNDARIES,Root SATIM manifest omitted newer modules,PARTIAL,EXPAND_MANIFEST,tests/test_visual_reasoning_baseline_v0_2.py,REPAIRED
ARTIFACT.SEAM_STITCH_FOUNDATION,module,satim_tile_seam_classifier.py,,Existing seam classifier and L5 calibration,PARTIAL,REUSE_AND_HARDEN,docs/MODULE_SPEC_SATIM.md,READY_FOR_ADAPTER
ARTIFACT.DIGITAL_ADJUDICATION,module,satim_artifact_filter.py,,Existing artifact signal taxonomy and non-destructive patch,PARTIAL,REUSE_AND_REPLACE_SCORE_SEMANTICS,tests/test_satim_artifact_filter.py,READY_FOR_ADAPTER
SHADOW.PHOTOMETRIC_ANALYZER,module,fr24/calibration/l5_tile_seam_shadow_calibration.py,,Existing shadow calibration not full local photometric model,MISSING,NEW_VECTOR_3_MODULE,configs/visual_reasoning/baseline_conformance_v0_2.yaml,OPEN
PALM.DETECTOR,module,,,No canonical palm morphology detector,MISSING,NEW_VECTOR_3_MODULE,configs/visual_reasoning/baseline_conformance_v0_2.yaml,OPEN
WATER.SURFACE_OBSERVATIONS,module,satim_water_feature.py,WaterObservation,Surface/shoreline/basin signals exist,PARTIAL,REUSE_OBSERVATIONS,tests/test_satim_water_feature.py,READY_FOR_ADAPTER
WATER.HYDROGRAPHIC_FORM,module,satim_water_feature.py,WaterClass,Class is caller supplied and lacks canonical geometric adjudication,MISSING,NEW_VECTOR_3_DECISION_LOGIC,configs/visual_reasoning/baseline_conformance_v0_2.yaml,OPEN
ROAD.VISIBLE_GEOMETRY,module,satim_road_end.py,RoadEndObservation,Visible road-end geometry exists but score contaminated by route links,PARTIAL,REUSE_GEOMETRY_ONLY,configs/visual_reasoning/baseline_conformance_v0_2.yaml,READY_FOR_ADAPTER
QUARRY.SYSTEM_ADJUDICATOR,module,satim_cut_fill.py;fr24/rlsm_unlabeled.py,CutFillClass.QUARRY;quarry discovery,Quarry labels exist without required natural-landform negative controls,MISSING,NEW_VECTOR_3_ADJUDICATOR,configs/visual_reasoning/legacy_rule_conflicts_v0_2.yaml,OPEN
EXCAVATION.VISIBLE_EARTHWORK,module,satim_cut_fill.py,CutFillObservation,Excavation face/grading/spoil/borrow signals exist,PARTIAL,REUSE_OBSERVATIONS,tests/test_satim_cut_fill.py,READY_FOR_ADAPTER
PORTAL.VISIBLE_SURFACE_CANDIDATE,module,,,No canonical portal-like visible-feature adjudicator,MISSING,NEW_VECTOR_3_MODULE,configs/visual_reasoning/baseline_conformance_v0_2.yaml,OPEN
MULTIFRAME.TEMPORAL_CHANGE,module,satim_temporal_change.py,,Existing temporal-change implementation,PARTIAL,REUSE_BEHIND_REGISTRATION_GATES,configs/visual_reasoning/baseline_conformance_v0_2.yaml,READY_FOR_ADAPTER
CONTRADICTION.PRESERVE,module,satim_contradiction_resolver.py,,Existing contradiction resolver,PARTIAL,REUSE_WITH_CANONICAL_STATE_SEMANTICS,configs/visual_reasoning/baseline_conformance_v0_2.yaml,READY_FOR_ADAPTER
SCENE.LOCATOR,module,,,No canonical text+road+hydro+terrain+registration constraint solver,MISSING,NEW_VECTOR_3_MODULE,configs/visual_reasoning/baseline_conformance_v0_2.yaml,OPEN
GEO.GEOMETRY_PRIMITIVES,module,satim_geometry.py;satim_fit.py;satim_ground_truth.py,,Reusable geometry/reference primitives,CONFORMS,KEEP,docs/MODULE_SPEC_SATIM.md,PASS
PARAMETERS.LEGACY_VISUAL,parameter_family,fr24/rlsm_unlabeled.py;satim_artifact_filter.py;satim_water_feature.py;satim_cut_fill.py;satim_road_end.py,,Output-affecting literals and weight families exist in implementation,PARTIAL,REGISTER_AS_DEBT_NOT_VALIDATED,configs/visual_reasoning/legacy_parameter_debt_v0_2.yaml,PASS_BOUNDED
